Date,Time,Town,County,Occupation,Description
2001-01-05,17:15 Ogwen Valley,,North West Wales,,shooting burning tail size military heading towards ground
2001-01-05,17:30 Hunmanby,,North Yorkshire,,twelve pulsating ed split different directions
2001-01-09,14:45 Humberside,,East Yorkshire,,silver cigar near military stationary first
2001-01-10,18:22 Norwich,,Norfolk,,first split half dozen cloud crossed
2001-01-10,18:30 Dundee,,Scotland,,first triangular second
2001-01-10,22:30 Chelmsford,,Essex,,appearance clusters horizon horizon
2001-01-11,11:20 Swinton,,Manchester,,round silver horizontally
2001-01-11,20:29 Blackpool,,Lancashire,,flashing round stationary
2001-01-12,21:15 Tottingham,,East Yorkshire,,seven arrow formation high south
2001-01-12,23:20 Bootle,,Merseyside,,type dark quite high small movements
2001-01-12,,21:00 25-30 miles over Bath,Somerset,RAF Pilot,triangular mainly stationary
2001-01-13,05:22 Farnborough,,Hampshire,,followed people climbing webbing house
2001-01-13,19:00 Liverpool,,Merseyside,,square middle south
2001-01-14,21:00 Tarleton,,Lancashire,,flashing blue pulsing glowed ted move towards ground
2001-01-15,16:00 Reading,,Berkshire,,changing erratic movements
2001-01-15,07:30 Kirkcaldy,,Scotland,,single appeared went explosion
2001-01-15,18:00 Southfields,,London,,turned blue
2001-01-20,01:15 Canvey Island,,Essex,,seven foot silver dome blue glow climbing vertically stages
2001-01-24,17:00 Battle,,East Sussex,,round flashing stationary quivering
2001-01-24,,"19:05 Bush Hill Park, Enfield",Middlesex,,silvery delta stationary circling back forwards
2001-01-25,16:40 St Andrews,,Fife,,strobe effect ing
2001-01-28,20:20 Liverpool,,Merseyside,,circuits around liverpool area flames coming front burning bits falling
2001-01-28,20:20 Childwall/Liverpool,,Merseyside,,slowly left right glow
2001-01-28,09:34 Folkestone,,Kent,,silver spin bobbing height feet size foot
2001-01-29,12:25 Dundee,,Scotland,,size shiny
2001-01-31,21:10 South Clifton,,Nottinghamshire,,size helicopter stripes wings phantom stationary darted woods
2001-02-04,04:00,,South Wales,,triangle inverted cream cone country lane
2001-02-06,06:00 St Columb,,North Cornwall,,making circular movements ground
2001-02-07,19:00 Dumbarton,,Scotland,,elliptical movement within slowly
2001-02-07,19:40 Caernarfon,,North Wales,,initially going crash witnesss house green side
2001-02-07,"19:45 Amlwch, Anglesey",,North Wales,,blue glow turned green broke left smoke seemed
2001-02-08,19:30,,Staffordshire,,burning breaking two pieces shooting lower turned green
2001-02-08,20:00 Preston,,Lancashire,,fire coming erly direction
2001-02-08,19:40 Lincoln,,Lincolnshire,,rocket glow
2001-02-08,19:20 Duffield,,Derbyshire,,blue fluorescent cigar hovered away quickly
2001-02-08,19:42 Wrangle,,Lincolnshire,,size tennis behind long tail tapered smaller
2001-02-08,19:45 Scunthorpe,,Lincolnshire,,stopped went vertically
2001-02-08,19:40 Aldborough,,East Yorkshire,,main stationary
2001-02-08,19:40,,West Yorkshire,,huge fire streaking across skies yorkshire
2001-02-09,20:23 Kiltarlity,,Inverness-Shire,,multied round front tapered towards tail left right
2001-02-09,06:15 Slough,,Middlesex,,elongated hovered formation
2001-02-09,20:35 Stevenage,,Hertfordshire,,half circle changing green whirring
