Date,Time,Town,County,Occupation,Description
2001-01-11,11:20 Swinton,,Manchester,,Round silver ball. The object was moving horizontally.
2001-01-11,20:29 Blackpool,,Lancashire,,"White light flashing. Was a round shape. Was stationary, moved West and then disappeared."
2001-01-12,21:15 Tottingham,,East Yorkshire,,Seven objects flying in arrow formation. They were moving at high speed from South to North.
2001-01-12,23:20 Bootle,,Merseyside,,"One object, aircraft type shape. Dark red in colour, quite dim. No sound. Very high up. Moving in fast, small movements."
2001-01-12,,21:00 25-30 miles over Bath,Somerset,RAF Pilot,"One object, triangular in shape. Mainly stationary."
2001-01-24,17:00 Battle,,East Sussex,,"One round, star shaped object, with one, white flashing light. Very bright. Stationary, but quivering."
2001-01-24,,"19:05 Bush Hill Park, Enfield",Middlesex,,"Bright, silvery light. Delta shape. Very bright. Stationary, then circling, then moving back and forwards."
2001-01-28,20:20 Liverpool,,Merseyside,,An orange object was seen to do circuits around the Liverpool area. There were flames coming out the front with burning bits falling off of it.
2001-01-28,20:20 Childwall/Liverpool,,Merseyside,,"An object, was moving slowly from left to right. The object had an orange glow. Had lights on it."
2001-01-28,09:34 Folkestone,,Kent,,"A silver spin top, bobbing at a height of 300 feet. Was about the size of a football."
2001-02-07,19:00 Dumbarton,,Scotland,,Elliptical and bright like a star. Movement within object. Moving slowly.
2001-02-07,19:40 Caernarfon,,North Wales,,"It initially looked like a star. Looked like it was going to crash into the witness's house. Was a green colour, with red on the side."
2001-02-07,"19:45 Amlwch, Anglesey",,North Wales,,"One object, with a blue glow, which then turned green. It broke up and left smoke. It seemed very large."
2001-02-08,19:30,,Staffordshire,,"Object, burning up in the sky, breaking into two-three pieces, looked like a shooting star, but lower in sky. Turned green."
2001-02-08,20:00 Preston,,Lancashire,,"Orange ball in the sky, looked to be on fire. Was coming from an Easterly direction."
2001-02-08,19:40 Lincoln,,Lincolnshire,,The object looked like a rocket. Had a white/orange glow.
2001-02-08,19:20 Duffield,,Derbyshire,,"Large blue, fluorescent, cigar shaped object. The object hovered and then moved away quickly."
2001-02-08,19:42 Wrangle,,Lincolnshire,,"Bright ball one end, about the size of a tennis ball, which was lit up. Behind it, a long tail tapered off with a smaller ball at the end of the object."
2001-02-08,19:45 Scunthorpe,,Lincolnshire,,White ball of light. Was moving from West to East. Stopped and then went up into the sky vertically.
2001-02-08,19:40 Aldborough,,East Yorkshire,,"One, main object which was very bright. White in colour. Stationary"
2001-02-08,19:40,,West Yorkshire,,A huge fireball streaking across the skies of West Yorkshire.
2001-02-13,02:30 Morton,,Lincolnshire,,"Circle of flashing white light, shaped like a bracelet. Moved over to the right, then left. Lights turned green and red. NW direction."
