Date,Time,Town,County,Occupation,Description
2001-01-10,18:22 Norwich,,Norfolk,,"One object that looked a bit like a star at first. It then split into about half a dozen lights, before cloud crossed over them."
2001-01-10,18:30 Dundee,,Scotland,,Two objects. The first was triangular in shape and had three orange lights. The second was a bright white light.
2001-01-10,22:30 Chelmsford,,Essex,,"650-700 objects - appearance of clusters of stars. White and very bright. Arc from horizon to horizon, East to West."
2001-02-04,04:00,,South Wales,,"Object was a tri-angle shape, like an inverted ice cream cone. The object disappeared down a country lane."
2001-02-07,19:00 Dumbarton,,Scotland,,Elliptical and bright like a star. Movement within object. Moving slowly.
2001-02-07,19:40 Caernarfon,,North Wales,,"It initially looked like a star. Looked like it was going to crash into the witness's house. Was a green colour, with red on the side."
2001-02-07,"19:45 Amlwch, Anglesey",,North Wales,,"One object, with a blue glow, which then turned green. It broke up and left smoke. It seemed very large."
2001-02-08,19:30,,Staffordshire,,"Object, burning up in the sky, breaking into two-three pieces, looked like a shooting star, but lower in sky. Turned green."
2001-02-08,20:00 Preston,,Lancashire,,"Orange ball in the sky, looked to be on fire. Was coming from an Easterly direction."
2001-02-08,19:40 Lincoln,,Lincolnshire,,The object looked like a rocket. Had a white/orange glow.
2001-02-08,19:20 Duffield,,Derbyshire,,"Large blue, fluorescent, cigar shaped object. The object hovered and then moved away quickly."
2001-02-08,19:42 Wrangle,,Lincolnshire,,"Bright ball one end, about the size of a tennis ball, which was lit up. Behind it, a long tail tapered off with a smaller ball at the end of the object."
2001-02-08,19:45 Scunthorpe,,Lincolnshire,,White ball of light. Was moving from West to East. Stopped and then went up into the sky vertically.
2001-02-08,19:40 Aldborough,,East Yorkshire,,"One, main object which was very bright. White in colour. Stationary"
2001-02-08,19:40,,West Yorkshire,,A huge fireball streaking across the skies of West Yorkshire.
2001-02-14,00:15 Salisbury,,Wiltshire,,"Very bright, like a shooting star. Tri-angle shaped. Flashing lights - red, purple and green. Moving in a Southerly direction."
2001-02-14,19:15 North Kelsey,,Lincolnshire,,"Looked like very bright stars. They were still, and then moved from side to side."
2001-02-14,20:00 North Muirton/Perth,,Scotland,,Two objects with white lights. The second object seemed dimmer. Moving at 90 degree angles. They moved at high speed.
